epoch,train_loss,val_loss,map_50,map_50_95,precision,recall,f1,pr_auc,lr,epoch_time_sec
1,1.1194052639496783,0.9978354224105821,0.28500550985336304,0.1595401018857956,0.645446240901947,0.5655460953712463,0.6028602995746726,0.0,5e-05,419.2313449382782
2,1.0566918750020717,1.02725863369712,0.29095885157585144,0.1637381911277771,0.6088071465492249,0.5575221180915833,0.5820370973165082,0.0,0.00019999999999999998,422.22052001953125
3,1.0555868184905413,1.0732562045981413,0.29070451855659485,0.16029749810695648,0.6153271794319153,0.5529038310050964,0.5824477381441845,0.0,0.00034999999999999994,419.1483647823334
4,1.0587293958045054,1.0406623408742195,0.2840709984302521,0.15935932099819183,0.6248186230659485,0.544441282749176,0.581867300735762,0.0,0.0005,419.0939733982086
5,1.006279673680608,1.0410834083156864,0.2978751063346863,0.1632092297077179,0.6457575559616089,0.5452927350997925,0.5912880531482277,0.0,0.0004983129702566148,423.93215799331665
6,0.9718031786538762,0.9801703519629736,0.3213827908039093,0.18195505440235138,0.6148844957351685,0.5904693007469177,0.6024296257190441,0.0,0.0004932746952096661,424.0494341850281
7,0.9400045765087248,0.986880228249696,0.33565765619277954,0.1919996440410614,0.6198186874389648,0.5767692923545837,0.5975196003623537,0.0,0.0004849533088860843,423.9186522960663
8,0.9062935694389055,0.9190398626518945,0.35183337330818176,0.20259904861450195,0.6067418456077576,0.5995252728462219,0.6031119724152356,0.0,0.0004734613437606915,425.71292757987976
9,0.8804325308047503,0.930681460367067,0.3508172929286957,0.20139892399311066,0.6672215461730957,0.5791171193122864,0.6200552553865782,0.0,0.0004589542089475278,419.45331478118896
10,0.8571252362763484,0.8963041995128576,0.353315532207489,0.2058410793542862,0.6539948582649231,0.6023117303848267,0.6270901996425723,0.0,0.00044162808855818515,423.1896016597748
11,0.832418953937712,0.8918124812580374,0.38160669803619385,0.2222258597612381,0.6436875462532043,0.6085296273231506,0.6256150305227088,0.0,0.0004217172886482492,418.87129521369934
12,0.8127828194254408,0.8968083420156563,0.37734901905059814,0.21654203534126282,0.6795424222946167,0.6023117303848267,0.6386005324968058,0.0,0.00039949106862984527,418.83078122138977
13,0.7905011553137721,0.8634022482446511,0.38732343912124634,0.22714777290821075,0.665313720703125,0.6174566149711609,0.6404924505262782,0.0,0.0003752500000000001,422.48507857322693
14,0.7700659098663126,0.8726552623684389,0.3959924280643463,0.23046237230300903,0.6721095442771912,0.6191335916519165,0.6445348432887491,0.0,0.0003493219016267697,420.25209641456604
15,0.7487412383699299,0.8667708975772788,0.39818239212036133,0.23619729280471802,0.678960382938385,0.6160375475883484,0.6459702820449783,0.0,0.0003220574065614171,416.4764997959137
16,0.727910005928412,0.856151265112588,0.40309378504753113,0.2397458255290985,0.6726115942001343,0.6217652559280396,0.6461897398220632,0.0,0.00029382522032789926,420.26027369499207
17,0.7073387200581497,0.8468577809577441,0.4018191695213318,0.23758497834205627,0.6965258121490479,0.617095410823822,0.6544091625206486,0.0,0.0002650071348131638,420.9816200733185
18,0.6893784796130672,0.8716937547726352,0.39663442969322205,0.23460794985294342,0.6706550121307373,0.6247323155403137,0.6468796624874007,0.0,0.00023599286518683637,420.10056924819946
19,0.6698818005004389,0.84159107174534,0.4034219980239868,0.2398410141468048,0.6943870782852173,0.6243194937705994,0.65749181566606,0.0,0.00020717477967210102,418.6331672668457
20,0.6508046905492859,0.8497741495932105,0.40267160534858704,0.23993587493896484,0.6986550688743591,0.6138445138931274,0.6535096647084044,0.0,0.00017894259343858305,418.61616468429565
21,0.6343069152218118,0.8539380854825034,0.40596282482147217,0.24236488342285156,0.6981121301651001,0.62204909324646,0.6578893696503835,0.0,0.0001516780983732304,421.86629343032837
22,0.6186095842509098,0.8505178265219188,0.40540197491645813,0.24086865782737732,0.6990665793418884,0.626073956489563,0.6605599441625855,0.0,0.0001257500000000001,424.257137298584
23,0.6021650040635036,0.8471261899184136,0.4061746299266815,0.24195750057697296,0.7115925550460815,0.6203462481498718,0.6628439244731195,0.0,0.00010150893137015494,422.7048428058624
24,0.5884034332067548,0.8525973175020114,0.40582048892974854,0.2443675994873047,0.7119059562683105,0.6218684911727905,0.6638481997175116,0.0,7.928271135175103e-05,421.12308859825134
25,0.5761933820955317,0.8560120842426363,0.4073738753795624,0.24257126450538635,0.7114850282669067,0.6207848787307739,0.6630475471547251,0.0,5.937191144181496e-05,421.8299398422241
21,0.6239893230044355,0.8453832986581065,0.4097840487957001,0.24420033395290375,0.7079980969429016,0.6221264600753784,0.6622903809528549,0.0001257500000000001,464.17989587783813
22,0.6056953429535713,0.8552595570574711,0.4083603322505951,0.244871124625206,0.6896600723266602,0.6245000958442688,0.6554646712012439,0.00010150893137015494,462.78098464012146
23,0.5883960770707858,0.855141889494266,0.4128943979740143,0.24600635468959808,0.7047178149223328,0.6281895637512207,0.6642567725363246,7.928271135175103e-05,465.9419686794281
24,0.5745004862800185,0.8517089576399239,0.41144609451293945,0.2456957995891571,0.7104147672653198,0.6270543336868286,0.6661367477001271,5.937191144181496e-05,464.28297424316406
25,0.5622991821780451,0.8548875594661184,0.407765656709671,0.24358022212982178,0.7145954966545105,0.6291958093643188,0.6691820223449667,4.2045791052472416e-05,475.4642117023468
26,0.552338920157214,0.8501762359464256,0.4097256362438202,0.24654054641723633,0.7230535745620728,0.6270543336868286,0.6716409475816714,2.753865623930868e-05,479.349711894989
27,0.5439070977629779,0.8618785427869672,0.4085354804992676,0.24551863968372345,0.7219688296318054,0.624809741973877,0.6698846680009458,1.604669111391588e-05,476.5050599575043
