epoch,train_loss,val_loss,map_50,map_50_95,precision,recall,f1,lr,epoch_time_sec
1,0.3220133035361988,0.6802177825113283,0.26398953795433044,0.15023422241210938,0.3916504681110382,0.5661394596099854,0.4630008688856543,0.0002,355.83608055114746
2,0.3337869074550194,0.6834686088518505,0.26583099365234375,0.1535385698080063,0.45240330696105957,0.5473567247390747,0.495370858021266,0.00019989981012086082,356.18844389915466
3,0.3350271370690155,0.6335756859205065,0.27819207310676575,0.16151100397109985,0.393127977848053,0.5644108653068542,0.46345002866407486,0.0001995994422525263,358.389545917511
4,0.33089852887487825,0.6437810379875838,0.27014288306236267,0.15111763775348663,0.43791842460632324,0.5501689910888672,0.48766765777575677,0.0001990995012959095,357.3895568847656
5,0.3326352739566189,0.6518225602424927,0.2877010703086853,0.16345243155956268,0.4410030245780945,0.5517686009407043,0.49020664093802024,0.00019840099406556367,357.5738334655762
6,0.3287056169676398,0.6503677749938338,0.2830577492713928,0.16390708088874817,0.4305226802825928,0.5676358938217163,0.48966192902169564,0.00019750532726209145,357.93418884277344
7,0.3248380292460267,0.6698923282814722,0.2811650335788727,0.1635362207889557,0.42110955715179443,0.5624499917030334,0.48162425386824054,0.0001964143046392374,358.8597664833069
8,0.3200986290900831,0.6644933162814509,0.2755187153816223,0.15888510644435883,0.4438987374305725,0.5433318614959717,0.488607884695053,0.0001951301233713678,358.2116422653198
9,0.3167800032550973,0.6655897866852962,0.2768964171409607,0.1618676334619522,0.4326243996620178,0.5641786456108093,0.4897205100185106,0.00019365536962865387,359.0377540588379
10,0.31439093750877345,0.6595882085988122,0.28187844157218933,0.16266819834709167,0.4155925214290619,0.5673263072967529,0.47974779530501027,0.00019199301336886938,359.37878608703613
11,0.3133190204153397,0.6627908721022362,0.2772885859012604,0.15992102026939392,0.40701472759246826,0.5784462690353394,0.47781931791100324,0.0001901464023562907,357.74302864074707
12,0.3069756799210577,0.6526044262369184,0.27818921208381653,0.1600431650876999,0.40685394406318665,0.572486400604248,0.47566374912793047,0.00018811925541974546,357.91277289390564
13,0.30462889424415834,0.6903936136377989,0.2887156903743744,0.16778089106082916,0.445860892534256,0.5684873461723328,0.49976184881441826,0.0001859156549633857,356.70598340034485
14,0.29982336322294617,0.6775213299441512,0.26880568265914917,0.1540602594614029,0.43703895807266235,0.561005175113678,0.491323197146186,0.00018354003874526966,357.72233414649963
15,0.29541794776142893,0.6972419915408113,0.27695295214653015,0.15984083712100983,0.43826091289520264,0.5609793663024902,0.4920845052173099,0.0001809971909403073,357.85074186325073
16,0.2943806403969289,0.6907024605430826,0.2808862328529358,0.1617162674665451,0.44918134808540344,0.5662426948547363,0.500964417352005,0.000178292232505569,358.07811760902405
17,0.28889899683381776,0.7031978838635187,0.2786467969417572,0.15987494587898254,0.4519803524017334,0.5599989891052246,0.5002247181518252,0.00017543061086735935,358.48316764831543
18,0.2866533111748648,0.7155740350267313,0.2811214029788971,0.16021744906902313,0.461122065782547,0.5604633688926697,0.5059626296285198,0.0001724180889508255,358.15331625938416
19,0.2808327405300217,0.7177630284406843,0.2833029627799988,0.162283793091774,0.47114601731300354,0.567893922328949,0.5150157362646609,0.00016926073357419308,357.9127388000488
20,0.2765018590743226,0.7212527109323627,0.28733712434768677,0.1667521893978119,0.48954275250434875,0.5610309839248657,0.5228545938037679,0.0001659649032310014,358.1683909893036
21,0.2747246362453117,0.7094683048933962,0.2868849039077759,0.16662365198135376,0.4494047164916992,0.5755566358566284,0.5047173069880995,0.000162537235284944,356.156534910202
22,0.27181890373876866,0.6819055276195498,0.28321486711502075,0.16396299004554749,0.45483118295669556,0.5675327181816101,0.5049700547716239,0.0001589846326031011,356.44331192970276
23,0.26589545972267686,0.7221466846709704,0.2890847623348236,0.1675184667110443,0.4717838764190674,0.5731055736541748,0.5175322023147757,0.00015531424965448422,356.748117685318
