epoch,train_loss,val_loss,map_50,map_50_95,precision,recall,f1,lr,epoch_time_sec
1,1.1635243946085458,0.9671131344716044,0.2780291736125946,0.15796519815921783,0.6367214918136597,0.5676100850105286,0.6001827852914323,2e-05,439.1050531864166
2,0.990093549927616,0.9516764718250637,0.3073824346065521,0.1772942692041397,0.6558555960655212,0.5671198964118958,0.6082685384780249,7.999999999999999e-05,443.3727102279663
3,0.9606544043136616,0.972812476819449,0.31540408730506897,0.1778818964958191,0.6189188957214355,0.5790138840675354,0.5983017407664357,0.00014,443.2102415561676
4,0.9543981540842242,0.9629598560668257,0.3245612680912018,0.19116027653217316,0.671657383441925,0.5636626482009888,0.6129394322718447,0.0002,444.4409840106964
5,0.9105776917875477,0.9236497744156497,0.34278324246406555,0.1976839005947113,0.6792172193527222,0.565030038356781,0.6168840302850097,0.00019964155010998138,442.5178282260895
6,0.8808256516967553,0.9245036657709275,0.3539382219314575,0.20639055967330933,0.661594569683075,0.5945457816123962,0.6262807498176082,0.00019856878307959698,442.3535706996918
7,0.8524504008027178,0.9139869040163764,0.3371678590774536,0.19733257591724396,0.6679169535636902,0.5834773778915405,0.6228483267323959,0.00019678942821988314,442.54604983329773
8,0.827238661641133,0.8945361376896391,0.3556751012802124,0.20566372573375702,0.6699656248092651,0.5833483934402466,0.6236639265210391,0.00019431630582337787,458.90452671051025
9,0.8066559782014568,0.9024019641597776,0.3601205348968506,0.21082723140716553,0.6648923754692078,0.5865476131439209,0.6232676586613658,0.0001911672347936195,461.417466878891
10,0.7865020139845105,0.8556324431169642,0.3627152442932129,0.2106923758983612,0.697066068649292,0.5994994640350342,0.6446118210270246,0.0001873649042595382,446.7073254585266
11,0.7667335671624825,0.875728602935798,0.3776622712612152,0.21936489641666412,0.6699698567390442,0.6017957329750061,0.63405552763554,0.00018293671009976227,439.24699997901917
12,0.7467677395454664,0.8729135163509063,0.38552162051200867,0.22495870292186737,0.6888561844825745,0.6036533713340759,0.6434464739635891,0.0001779145575546847,449.6499536037445
13,0.7318225911045988,0.8580129048685088,0.3953770399093628,0.23195905983448029,0.6795969009399414,0.6106710433959961,0.6432929693518392,0.00017233463134847516,439.10440278053284
14,0.7131041326227383,0.8630362334151338,0.3867306411266327,0.2324225753545761,0.6882535815238953,0.599396288394928,0.6407590322141626,0.00016623713497731306,439.8527114391327
15,0.6979215907805562,0.8559466403548734,0.39046818017959595,0.23264777660369873,0.700221836566925,0.594571590423584,0.6430863832613065,0.0001596660010422765,437.2241356372833
16,0.6850417865893823,0.855162051363583,0.3994658291339874,0.23858428001403809,0.7059105038642883,0.6085812449455261,0.6536425864229732,0.00015266857471394455,438.9875752925873
17,0.6646501193437795,0.8538586085621458,0.39424440264701843,0.23310114443302155,0.7370359897613525,0.6039629578590393,0.6638967722006616,0.0001452952726093585,437.78237795829773
18,0.6509406457025424,0.8529835300397699,0.3950193226337433,0.23549698293209076,0.6884326934814453,0.6082200407981873,0.6458453367604451,0.00013759921953914071,440.90004205703735
19,0.6353661670857218,0.8411045092953383,0.3980141878128052,0.23781907558441162,0.7130229473114014,0.6077040433883667,0.6561642658339973,0.00012963586574201675,436.7666461467743
20,0.6213528092015806,0.8493891046212537,0.40095463395118713,0.2397276610136032,0.7062039375305176,0.6132253408432007,0.6564385941635903,0.00012146258736457478,439.50149631500244
21,0.6058647219869866,0.8649357586120167,0.4047386050224304,0.24227912724018097,0.7264066934585571,0.6098712682723999,0.6630575136437461,0.00011313827306481443,435.9659652709961
22,0.5907228075437552,0.8727044652957116,0.3968030512332916,0.23921726644039154,0.7248541712760925,0.6059495806694031,0.660089935107434,0.00010472289971801677,436.24243116378784
23,0.5765012886642268,0.8538815653237113,0.3960658311843872,0.2376100718975067,0.7208055853843689,0.6140767335891724,0.6631744733363839,9.627710028198327e-05,435.08791160583496
24,0.5624377667599982,0.8850376086622259,0.3982310891151428,0.23796282708644867,0.740247905254364,0.6071106195449829,0.6671013781469646,8.786172693518557e-05,438.6567449569702
25,0.5474556116467832,0.8694193800435449,0.393615186214447,0.2365863174200058,0.7209094166755676,0.6029309034347534,0.6566631326874818,7.953741263542524e-05,562.5195059776306
26,0.5328593598506027,0.8693166762372874,0.3936830163002014,0.23579353094100952,0.7255663275718689,0.6073685884475708,0.6612268774809208,7.136413425798327e-05,565.0247271060944
27,0.5217577207290162,0.8669389574414622,0.39327239990234375,0.23618212342262268,0.7289708256721497,0.6121932864189148,0.6654980422581447,6.34007804608593e-05,553.4832661151886
28,0.5095610073980574,0.8815887257130477,0.3931823670864105,0.2378324568271637,0.7393186688423157,0.6036017537117004,0.6646023659634561,5.5704727390641495e-05,562.96071600914
