epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,469.329,1.38232,1.31658,1.02471,0.41404,0.3653,0.34332,0.20628,1.32355,1.06308,1.01379,0.000237926,0.000237926,0.000237926
2,1006.61,1.37853,1.19413,1.02908,0.45664,0.36653,0.36075,0.21689,1.31548,1.05226,1.00169,0.000464147,0.000464147,0.000464147
3,1345.89,1.36555,1.15026,1.01704,0.47323,0.37877,0.3826,0.23244,1.27892,1.02379,0.98859,0.000678587,0.000678587,0.000678587
4,1685.79,1.35108,1.11664,1.01723,0.4804,0.40609,0.40484,0.24708,1.26623,0.99745,0.98879,0.000660986,0.000660986,0.000660986
5,2015.36,1.31983,1.07179,1.00383,0.52145,0.40639,0.42922,0.26111,1.24792,0.9486,0.97895,0.000643314,0.000643314,0.000643314
6,2345.98,1.31062,1.03954,0.99449,0.51497,0.41382,0.4264,0.26342,1.24258,0.95899,0.97708,0.000625642,0.000625642,0.000625642
7,2673.93,1.2921,1.01355,0.98964,0.52941,0.43361,0.45052,0.27825,1.22892,0.93015,0.96896,0.000607971,0.000607971,0.000607971
8,3013.27,1.27522,0.98315,0.98186,0.55323,0.44268,0.46574,0.28899,1.21061,0.91173,0.96647,0.0005903,0.0005903,0.0005903
9,3349.21,1.27138,0.98144,0.98226,0.55315,0.42728,0.45065,0.28016,1.21016,0.917,0.96186,0.000572628,0.000572628,0.000572628
10,3684.52,1.26122,0.96145,0.97939,0.53783,0.4502,0.46961,0.29377,1.20412,0.89605,0.95857,0.000554956,0.000554956,0.000554956
11,4014.9,1.23884,0.92664,0.96965,0.55619,0.45309,0.47299,0.29476,1.19996,0.88265,0.95752,0.000537285,0.000537285,0.000537285
12,4344.64,1.24133,0.92825,0.96869,0.57978,0.46416,0.48804,0.30499,1.18554,0.8672,0.95193,0.000519613,0.000519613,0.000519613
13,4674.54,1.23512,0.91197,0.96637,0.56888,0.46828,0.48683,0.30479,1.18082,0.86514,0.9505,0.000501942,0.000501942,0.000501942
14,5002.04,1.22576,0.90135,0.96321,0.58007,0.46808,0.49308,0.31111,1.17554,0.85494,0.94709,0.000484271,0.000484271,0.000484271
15,5337.14,1.22158,0.89101,0.95905,0.59322,0.47229,0.50259,0.31607,1.16261,0.83879,0.94301,0.000466599,0.000466599,0.000466599
16,5672.98,1.20657,0.87258,0.95568,0.59061,0.47609,0.50166,0.31558,1.1679,0.85043,0.94472,0.000448928,0.000448928,0.000448928
17,6003.7,1.20983,0.87668,0.95563,0.59395,0.48032,0.51053,0.31986,1.16388,0.83593,0.94285,0.000431256,0.000431256,0.000431256
18,6336.57,1.20612,0.86309,0.95389,0.60737,0.48097,0.51583,0.32653,1.15465,0.82419,0.94067,0.000413584,0.000413584,0.000413584
19,6675,1.19868,0.84921,0.95212,0.60474,0.48614,0.52107,0.32841,1.1692,0.82333,0.94457,0.000395913,0.000395913,0.000395913
20,7005.71,1.19073,0.84056,0.94917,0.6098,0.48735,0.51894,0.32825,1.1547,0.82326,0.94019,0.000378242,0.000378242,0.000378242
21,7337.46,1.18079,0.8294,0.94521,0.62177,0.48814,0.5269,0.3331,1.14588,0.81424,0.93778,0.00036057,0.00036057,0.00036057
22,7672.38,1.17483,0.81985,0.94454,0.61613,0.50349,0.53453,0.33985,1.142,0.79779,0.93715,0.000342899,0.000342899,0.000342899
23,8006.88,1.16931,0.81453,0.94289,0.61564,0.49745,0.53163,0.33803,1.14201,0.80532,0.93466,0.000325227,0.000325227,0.000325227
24,8335.88,1.16884,0.80677,0.9421,0.61638,0.50042,0.53552,0.34054,1.13544,0.7916,0.93389,0.000307555,0.000307555,0.000307555
25,8665.57,1.159,0.79381,0.9373,0.61581,0.49725,0.53476,0.33846,1.14501,0.80095,0.93745,0.000289884,0.000289884,0.000289884
26,8992.61,1.16141,0.79334,0.9394,0.63589,0.49739,0.53879,0.34294,1.13782,0.79275,0.93374,0.000272212,0.000272212,0.000272212
27,9321.41,1.14899,0.78052,0.93386,0.62262,0.51284,0.54373,0.347,1.12983,0.78129,0.93186,0.000254541,0.000254541,0.000254541
28,9647.71,1.14648,0.7765,0.93219,0.62926,0.51152,0.54448,0.34667,1.13048,0.77798,0.92707,0.000236869,0.000236869,0.000236869
29,9984.82,1.14738,0.77201,0.93256,0.63472,0.50593,0.54629,0.34738,1.13315,0.77766,0.93041,0.000219198,0.000219198,0.000219198
30,10321.1,1.13513,0.75667,0.92897,0.63871,0.51005,0.54774,0.34867,1.12332,0.76984,0.92582,0.000201527,0.000201527,0.000201527
31,10678,1.14238,0.75196,0.92628,0.61327,0.51685,0.54542,0.34625,1.1312,0.77484,0.92917,0.000183855,0.000183855,0.000183855
32,11007.6,1.13694,0.73684,0.92749,0.63263,0.51232,0.54699,0.34861,1.12847,0.77072,0.92818,0.000166183,0.000166183,0.000166183
33,11335.8,1.12944,0.73076,0.9221,0.63467,0.50771,0.54464,0.34679,1.12927,0.77335,0.92692,0.000148512,0.000148512,0.000148512
34,11667.6,1.12279,0.72223,0.92125,0.64099,0.50527,0.54723,0.34888,1.12753,0.77158,0.92626,0.000130841,0.000130841,0.000130841
35,11995.4,1.11906,0.71488,0.91853,0.64048,0.51089,0.54979,0.35119,1.12407,0.76511,0.92717,0.000113169,0.000113169,0.000113169
36,12323.4,1.11173,0.70389,0.91772,0.63531,0.51474,0.54953,0.35009,1.12811,0.7658,0.92755,9.54975e-05,9.54975e-05,9.54975e-05
37,12651.8,1.10301,0.69385,0.91618,0.62758,0.51939,0.55278,0.35279,1.12334,0.76009,0.92481,7.7826e-05,7.7826e-05,7.7826e-05
38,12984.6,1.1041,0.68948,0.91493,0.6339,0.5165,0.55152,0.35362,1.12234,0.75925,0.92388,6.01545e-05,6.01545e-05,6.01545e-05
39,13312.8,1.09622,0.68199,0.9133,0.62628,0.52328,0.55503,0.35539,1.12082,0.75587,0.92507,4.2483e-05,4.2483e-05,4.2483e-05
40,13644.1,1.08908,0.67405,0.91094,0.64357,0.51898,0.55612,0.35444,1.12435,0.75634,0.92603,2.48115e-05,2.48115e-05,2.48115e-05
