epoch,train_loss,val_loss,map_50,map_50_95,precision,recall,f1,lr,epoch_time_sec
1,0.8855090585431089,0.73425159473782,0.10699314624071121,0.055413030087947845,0.836323082447052,0.2129053920507431,0.3394069034100537,0.0002,320.77809715270996
2,0.7027209703020745,0.6595208363040633,0.16335251927375793,0.09173641353845596,0.7631238698959351,0.30454862117767334,0.4353550818395195,0.00019980365947861302,318.96191477775574
3,0.6453199418636247,0.6250594251829645,0.2041866034269333,0.11258284747600555,0.5393186211585999,0.3884001076221466,0.4515838777469234,0.00019921541278079054,323.600314617157
4,0.6075242718852594,0.6525080680199291,0.19510813057422638,0.10914453119039536,0.8158608675003052,0.26383548974990845,0.3987288650170827,0.00019823758144750452,322.8736164569855
5,0.5787060714022112,0.6138603852494903,0.21383485198020935,0.11838029325008392,0.6200878620147705,0.3786217272281647,0.4701641796134643,0.00019687402453229876,317.89404249191284
6,0.5580745001873338,0.6045962996456934,0.24414590001106262,0.13480670750141144,0.6434341669082642,0.369901180267334,0.46974983834734835,0.00019513012337136777,326.82483649253845
7,0.5354420059361427,0.5846027819358784,0.2522306740283966,0.14211811125278473,0.6143060922622681,0.4001651108264923,0.48463448689930283,0.00019301276034588098,323.728657245636
8,0.5167603546872639,0.5844764550742896,0.2589279115200043,0.14841113984584808,0.7861820459365845,0.37168142199516296,0.5047387172560852,0.00019053029172036892,319.15603137016296
9,0.5004474625916697,0.5858991466786551,0.2527278661727905,0.1468079388141632,0.663971483707428,0.4279780089855194,0.5204731455471678,0.0001876925146643644,323.54142785072327
10,0.48575300743339017,0.5837420981539332,0.2574636936187744,0.14677292108535767,0.6055629253387451,0.4252173602581024,0.49961349121771187,0.0001845106285874505,324.80861377716064
11,0.47146576913669225,0.5889390988842301,0.25411808490753174,0.14761002361774445,0.5827281475067139,0.4409814476966858,0.5020414056977965,0.00018099719094030725,321.35541462898254
12,0.46243715689511516,0.5836747680669245,0.2614857256412506,0.14765851199626923,0.654037594795227,0.43736937642097473,0.5241967891641705,0.000177166067656191,314.43703174591064
13,0.44953108851671,0.6093838428673537,0.24947871267795563,0.13920122385025024,0.6343948245048523,0.44665753841400146,0.524224802452403,0.00017303237842843043,317.97765493392944
14,0.43723088872996163,0.6014188042153483,0.26892638206481934,0.15521560609340668,0.699999988079071,0.4231533408164978,0.5274566275264256,0.00016861243703990451,320.46568036079407
