epoch,train_loss,val_loss,map_50,map_50_95,precision,recall,f1,pr_auc,lr,epoch_time_sec
1,1.2002552946377891,1.0450267868429204,0.24999229609966278,0.13985294103622437,0.618599534034729,0.5529554486274719,0.5839384201766408,0.0,2e-05,421.7141959667206
2,1.0180390107690624,0.9780011492489028,0.29973676800727844,0.17104820907115936,0.632571816444397,0.5658040642738342,0.5973279510178591,0.0,7.999999999999999e-05,421.571572303772
3,0.9813432126169004,0.9998535945685241,0.3062581717967987,0.16881780326366425,0.6222468614578247,0.5649010539054871,0.5921888979088712,0.0,0.00014,420.2127718925476
4,0.9736847975032291,0.9747265270591652,0.3127647638320923,0.17726334929466248,0.6473946571350098,0.5734668374061584,0.608192441551918,0.0,0.0002,419.30080580711365
5,0.9274193389417215,0.960059569373618,0.3231089115142822,0.18123403191566467,0.6510723829269409,0.5748600363731384,0.6105972692109929,0.0,0.00019932721659532334,426.7931921482086
6,0.8945895028985549,0.933186612751362,0.3470214009284973,0.19880636036396027,0.6490980982780457,0.59513920545578,0.6209486330506198,0.0,0.00019731796462269248,419.6562285423279
7,0.8682998950387109,0.9321547875547931,0.3498649001121521,0.20278693735599518,0.6415424942970276,0.5854640007019043,0.6122217557320156,0.0,0.0001939994157681979,417.8143231868744
8,0.8432578870149419,0.8859490708169275,0.3647119998931885,0.2100173979997635,0.6494949460029602,0.59722900390625,0.6222664121784767,0.0,0.00018941644771217954,420.6471405029297
9,0.8198263359904215,0.8856638754262541,0.37137532234191895,0.21622619032859802,0.6826186776161194,0.598028838634491,0.6375300772848944,0.0,0.0001836310372355872,422.1450004577637
10,0.7942397695803746,0.8734965568585117,0.36993399262428284,0.21468663215637207,0.6694764494895935,0.6106452941894531,0.63870900634273,0.0,0.0001767214220903383,420.8395278453827
11,0.7739148332849053,0.878842297479184,0.3800661265850067,0.22178971767425537,0.6495832204818726,0.6111871004104614,0.6298004932739992,0.0,0.000168781042967939,423.04037976264954
12,0.7540304710759295,0.865809621112625,0.38113534450531006,0.22038888931274414,0.6940371990203857,0.6021053194999695,0.6448110196062065,0.0,0.00015991727987442722,421.04929780960083
13,0.7330806737556151,0.8488681625819554,0.38959944248199463,0.22844824194908142,0.6789188981056213,0.6247581243515015,0.6507134666956309,0.0,0.00015025,421.92711997032166
14,0.7123839836959049,0.8558672953968065,0.39826029539108276,0.23321956396102905,0.7216846346855164,0.6118836998939514,0.6622638720155876,0.0,0.0001399099367208961,417.2101638317108
15,0.6935612407728238,0.8420163633940864,0.3957670032978058,0.2347051054239273,0.6928524374961853,0.6209912300109863,0.6549565949398125,0.0,0.00012903692165475348,419.1199531555176
16,0.6734514304808582,0.841537267187216,0.40151312947273254,0.23772594332695007,0.7029388546943665,0.6226682662963867,0.6603732147090089,0.0,0.00011777799367785958,423.4058527946472
17,0.6549652556028811,0.8425865548588064,0.39889442920684814,0.2334701120853424,0.7087535858154297,0.6200108528137207,0.661418837532347,0.0,0.00010628541047659234,420.9762382507324
18,0.6377080871927355,0.8568459362009145,0.39388400316238403,0.23341120779514313,0.6952894330024719,0.6256869435310364,0.6586545042483714,0.0,9.471458952340766e-05,420.37240409851074
19,0.6187948534295091,0.8533121742253756,0.4035455882549286,0.23896706104278564,0.6999541521072388,0.6300472021102905,0.6631634678298497,0.0,8.322200632214045e-05,430.63841342926025
20,0.5997868978702757,0.8435502874590185,0.4020254611968994,0.23729558289051056,0.7037975192070007,0.6235197186470032,0.6612309682196359,0.0,7.196307834524652e-05,427.35629963874817
21,0.5833320441599406,0.8652003713115288,0.4026366174221039,0.23866938054561615,0.7161144614219666,0.6206300258636475,0.6649619892820786,0.0,6.10900632791039e-05,424.25554299354553
22,0.5691813942072602,0.8575244218546109,0.4047216475009918,0.2390175312757492,0.7136897444725037,0.6223586797714233,0.664902557536669,0.0,5.075000000000002e-05,420.534157037735
23,0.5528626789434437,0.8694401974008031,0.40082743763923645,0.23881204426288605,0.7183969616889954,0.6234422922134399,0.6675599140686984,0.0,4.10827201255728e-05,422.2398555278778
24,0.5407715513611533,0.8694608876631208,0.4049991965293884,0.24229668080806732,0.7335699200630188,0.6185917854309082,0.6711923947357041,0.0,3.221895703206102e-05,421.0654773712158
25,0.5294943683088857,0.87541681479146,0.40266528725624084,0.2392786294221878,0.7233009934425354,0.6227715015411377,0.6692822970992629,0.0,2.4278577909661668e-05,421.90538215637207
26,0.5190692729971685,0.8848466356522846,0.40038949251174927,0.23894602060317993,0.7210724949836731,0.6202946305274963,0.6668978065031802,0.0,1.736896276441284e-05,422.8203582763672
27,0.5136986669171394,0.8802068898060026,0.39799031615257263,0.2385527342557907,0.7211279273033142,0.6215330362319946,0.6676366444561896,0.0,1.158355228782049e-05,422.33993434906006
28,0.5075755216462171,0.8871626650003621,0.40106144547462463,0.23893937468528748,0.7312820553779602,0.6211718320846558,0.6717446240803038,0.0,7.000584231802122e-06,422.71698093414307
29,0.5037638545531333,0.8991214427417212,0.3996448814868927,0.23829631507396698,0.731967568397522,0.6194690465927124,0.6710359134901425,0.0,3.682035377307531e-06,422.6231837272644
30,0.502171095732337,0.8986612140153446,0.3991587162017822,0.23860710859298706,0.7330280542373657,0.6195722222328186,0.6715418123498439,0.0,1.672783404676669e-06,421.79670548439026
