epoch,train_loss,val_loss,map_50,map_50_95,precision,recall,f1,lr,epoch_time_sec
1,1.0131972745447724,0.8858925067160252,0.09515158832073212,0.03336813673377037,0.597101628780365,0.2625712752342224,0.364747418189259,2e-05,316.04926109313965
2,0.8086232759141362,0.7448727786540985,0.1782987266778946,0.07282206416130066,0.40140774846076965,0.5149771571159363,0.4511550111501326,7.999999999999999e-05,320.7978389263153
3,0.7239546482952033,0.7027474472122471,0.22051021456718445,0.09216465055942535,0.5332959294319153,0.49051833152770996,0.5110134513466764,0.00014,313.4309585094452
4,0.6833512097670799,0.6940146997897294,0.2143670618534088,0.09409502893686295,0.4722784459590912,0.5296576023101807,0.499325021275696,0.0002,316.36004662513733
5,0.6404793000560166,0.6972515177335182,0.21905827522277832,0.10465849190950394,0.3740643858909607,0.6227715015411377,0.4673921599562104,0.0001998906387028283,321.3293137550354
6,0.6086971069397163,0.6579118376448206,0.2703603208065033,0.12323642522096634,0.4386487305164337,0.6120643019676208,0.5110457770144742,0.00019956279521117886,312.69313788414
7,0.5837742677200194,0.6345593257107004,0.29016217589378357,0.13262486457824707,0.4735060930252075,0.6100518703460693,0.5331754967155549,0.00019901719019619775,318.30648374557495
8,0.5632286110687977,0.6287528814843101,0.27862441539764404,0.12855611741542816,0.5193087458610535,0.617920994758606,0.5643394036713411,0.0001982550230161198,317.6719079017639
9,0.541232967014771,0.6243721216264433,0.30047371983528137,0.13993987441062927,0.5422142148017883,0.5887148976325989,0.5645085663678046,0.00019727796907981885,312.8924596309662
10,0.5276693690139962,0.6311715363803572,0.3081646263599396,0.13833074271678925,0.4638540744781494,0.6416574120521545,0.538457372222587,0.00019608817616389553,313.61165142059326
11,0.5102366692995554,0.6283998806981275,0.3208213150501251,0.15151859819889069,0.6108985543251038,0.5807941555976868,0.5954661081011128,0.00019468825969139815,319.21744203567505
12,0.49509701448664234,0.6178849471093965,0.335403710603714,0.1597590148448944,0.4926355183124542,0.6566990613937378,0.5629575376870797,0.0001930812969825551,312.0617296695709
13,0.4836105321141418,0.6240134459995005,0.3258344531059265,0.16054777801036835,0.4736246168613434,0.6474625468254089,0.5470657601034444,0.00019127082049015718,314.7625710964203
14,0.4707753742332438,0.6180864149419061,0.3313749432563782,0.15854375064373016,0.4895724356174469,0.6516938209533691,0.5591181363052663,0.0001892608100344599,310.56938648223877
15,0.4598136652808991,0.6297152684117756,0.337088942527771,0.16626155376434326,0.4539976716041565,0.6725921630859375,0.5420877529295599,0.0001870556840546746,317.39700841903687
16,0.45022297681658097,0.6231126199020957,0.3355414867401123,0.16246525943279266,0.5351359248161316,0.6377615332603455,0.5819589863774363,0.00018466028989628014,313.4945604801178
17,0.4385132873810745,0.6265659798888394,0.3399691581726074,0.16444618999958038,0.5191948413848877,0.6594855189323425,0.5809912354958624,0.00018207989315550572,312.1906087398529
18,0.4291417433342658,0.6376438094099073,0.3440609872341156,0.1655377745628357,0.5841891169548035,0.6266931295394897,0.6046951419219477,0.00017932016610440734,314.14844942092896
19,0.4202523612070769,0.639234326616691,0.33926528692245483,0.16612239181995392,0.5211663246154785,0.6511520147323608,0.578952816643325,0.00017638717522198296,319.95430636405945
20,0.41065757127181707,0.6368561305486373,0.3446226418018341,0.17024895548820496,0.5356116890907288,0.6493975520133972,0.5870417000312944,0.00017328736785873503,311.85864877700806
21,0.40331016892822846,0.6416351407983877,0.34278610348701477,0.16718165576457977,0.537907063961029,0.6469207406044006,0.5873988352622104,0.0001700275580639947,309.6681044101715
22,0.3936003781279505,0.6655361285827456,0.33855554461479187,0.16678567230701447,0.5743445754051208,0.6381227374076843,0.6045562281139282,0.0001666149116071627,317.92731976509094
23,0.38599377121587547,0.6634691893836878,0.3331184685230255,0.1653396487236023,0.5318758487701416,0.6502747535705566,0.5851461494065294,0.000163056930225793,312.20569920539856
24,0.37894936543469154,0.6530716564968555,0.34217217564582825,0.16658487915992737,0.5302407741546631,0.6523388028144836,0.5849866487665587,0.00015936143513514543,310.49663949012756
25,0.3701902611160418,0.6733710132811191,0.34226056933403015,0.17020604014396667,0.5423503518104553,0.6626331806182861,0.5964883817212845,0.00015553654983545728,315.0143485069275
