epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,365.633,1.14308,0.7604,0.92873,0.59634,0.48515,0.50797,0.32084,1.17784,0.83147,0.94028,0.00035689,0.00035689,0.00035689
2,697.631,1.17669,0.82067,0.94283,0.58998,0.46871,0.49755,0.31333,1.17376,0.85028,0.94136,0.000678552,0.000678552,0.000678552
3,1027.23,1.18508,0.83356,0.94246,0.59568,0.47985,0.50887,0.31976,1.17633,0.84018,0.9433,0.000643314,0.000643314,0.000643314
4,1358.75,1.1857,0.83202,0.94737,0.60996,0.48853,0.5164,0.32214,1.1814,0.8382,0.94502,0.000607971,0.000607971,0.000607971
5,1697.7,1.1736,0.81707,0.9425,0.58606,0.4902,0.51376,0.32148,1.18042,0.83034,0.94157,0.000572628,0.000572628,0.000572628
6,2031.01,1.17457,0.80946,0.94055,0.6065,0.49113,0.52265,0.33079,1.14868,0.81367,0.93535,0.000537285,0.000537285,0.000537285
7,2368.81,1.16324,0.79916,0.93868,0.6162,0.49467,0.52548,0.32896,1.1682,0.81994,0.93943,0.000501942,0.000501942,0.000501942
8,2700.93,1.15427,0.78496,0.93375,0.60776,0.49527,0.52422,0.33123,1.15634,0.81168,0.93748,0.000466599,0.000466599,0.000466599
9,3032.09,1.15563,0.78555,0.93688,0.59753,0.49515,0.5137,0.32354,1.1624,0.82835,0.93707,0.000431256,0.000431256,0.000431256
10,3362.74,1.1465,0.77012,0.93375,0.6197,0.49646,0.53312,0.33946,1.14264,0.79709,0.9335,0.000395913,0.000395913,0.000395913
11,3826.83,1.15616,0.76489,0.92995,0.62398,0.49747,0.53038,0.33407,1.16035,0.80424,0.935,0.00036057,0.00036057,0.00036057
12,4199.94,1.14407,0.75007,0.9261,0.62686,0.49468,0.53151,0.33545,1.14824,0.80114,0.93168,0.000325227,0.000325227,0.000325227
13,4560.64,1.13793,0.73528,0.92237,0.61513,0.50782,0.53772,0.33899,1.14938,0.79551,0.93744,0.000289884,0.000289884,0.000289884
